avg len,diameter,nodes,edges,density,degree,i
1.5,2,1877,880313,0.5,938,1877
1.5,2,1889,891608,0.5,944,1889
1.5,2,1901,902975,0.5,950,1901
1.5,2,1913,914414,0.5,956,1913
1.5,2,1933,933639,0.5,966,1933
1.5,2,1949,949163,0.5,974,1949
1.5,2,1973,972689,0.5,986,1973
1.5,2,1993,992514,0.5,996,1993
1.5,2,1997,996503,0.5,998,1997
1.5,2,2017,1016568,0.5,1008,2017
1.5,2,2029,1028703,0.5,1014,2029
1.5,2,2053,1053189,0.5,1026,2053
1.5,2,2069,1069673,0.5,1034,2069
1.5,2,2081,1082120,0.5,1040,2081
1.5,2,2089,1090458,0.5,1044,2089
1.5,2,2113,1115664,0.5,1056,2113
1.5,2,2129,1132628,0.5,1064,2129
1.5,2,2137,1141158,0.5,1068,2137
1.5,2,2141,1145435,0.5,1070,2141
1.5,2,2153,1158314,0.5,1076,2153
1.5,2,2161,1166940,0.5,1080,2161
1.53551912568306,2,2197,1120470,0.4644808743169399,1020,2197
1.0208333333333333,2,2209,2387929,0.9791666666666666,2162,2209
1.5,2,2213,1223789,0.5,1106,2213
1.5,2,2221,1232655,0.5,1110,2221
1.5,2,2237,1250483,0.5,1118,2237
1.5,2,2269,1286523,0.5,1134,2269
1.5,2,2273,1291064,0.5,1136,2273
1.5,2,2281,1300170,0.5,1140,2281
1.5,2,2293,1313889,0.5,1146,2293
1.5,2,2297,1318478,0.5,1148,2297
1.5,2,2309,1332293,0.5,1154,2309
1.5,2,2333,1360139,0.5,1166,2333
1.5,2,2341,1369485,0.5,1170,2341
1.5,2,2357,1388273,0.5,1178,2357
1.5,2,2377,1411938,0.5,1188,2377
1.5,2,2381,1416695,0.5,1190,2381
1.5,2,2389,1426233,0.5,1194,2389
1.5,2,2393,1431014,0.5,1196,2393
1.125,2,2401,2521050,0.875,2100,2401
1.5,2,2417,1459868,0.5,1208,2417
1.5,2,2437,1484133,0.5,1218,2437
1.5,2,2441,1489010,0.5,1220,2441
1.5,2,2473,1528314,0.5,1236,2473
1.5,2,2477,1533263,0.5,1238,2477
1.5,2,2521,1588230,0.5,1260,2521
1.5,2,2549,1623713,0.5,1274,2549
1.5,2,2557,1633923,0.5,1278,2557
1.5,2,2593,1680264,0.5,1296,2593
1.5,2,2609,1701068,0.5,1304,2609
1.5,2,2617,1711518,0.5,1308,2617
1.5,2,2621,1716755,0.5,1310,2621
1.5,2,2633,1732514,0.5,1316,2633
1.5,2,2657,1764248,0.5,1328,2657
1.5,2,2677,1790913,0.5,1338,2677
1.5,2,2689,1807008,0.5,1344,2689
1.5,2,2693,1812389,0.5,1346,2693
1.5,2,2713,1839414,0.5,1356,2713
1.5,2,2729,1861178,0.5,1364,2729
1.5,2,2741,1877585,0.5,1370,2741
1.5,2,2749,1888563,0.5,1374,2749
1.5,2,2753,1894064,0.5,1376,2753
1.5,2,2777,1927238,0.5,1388,2777
1.5,2,2789,1943933,0.5,1394,2789
1.5,2,2797,1955103,0.5,1398,2797
1.5,2,2801,1960700,0.5,1400,2801
1.5092592592592593,2,2809,1935401,0.49074074074074076,1378,2809
1.5,2,2833,2005764,0.5,1416,2833
1.5,2,2837,2011433,0.5,1418,2837
1.5,2,2857,2039898,0.5,1428,2857
1.5,2,2861,2045615,0.5,1430,2861
1.5,2,2897,2097428,0.5,1448,2897
1.5,2,2909,2114843,0.5,1454,2909
1.5,2,2917,2126493,0.5,1458,2917
1.5,2,2953,2179314,0.5,1476,2953
1.5,2,2957,2185223,0.5,1478,2957
1.5,2,2969,2202998,0.5,1484,2969
1.5,2,3001,2250750,0.5,1500,3001
1.5,2,3037,2305083,0.5,1518,3037
1.5,2,3041,2311160,0.5,1520,3041
1.5,2,3049,2323338,0.5,1524,3049
1.5,2,3061,2341665,0.5,1530,3061
1.5,2,3089,2384708,0.5,1544,3089
1.5,2,3109,2415693,0.5,1554,3109
1.5,2,3121,2434380,0.5,1560,3121
1.5832266325224071,2,3125,2034375,0.4167733674775928,1302,3125
1.5,2,3137,2459408,0.5,1568,3137
1.5,2,3169,2509848,0.5,1584,3169
1.5,2,3181,2528895,0.5,1590,3181
1.5,2,3209,2573618,0.5,1604,3209
1.5,2,3217,2586468,0.5,1608,3217
1.5,2,3221,2592905,0.5,1610,3221
1.5,2,3229,2605803,0.5,1614,3229
1.5,2,3253,2644689,0.5,1626,3253
1.5,2,3257,2651198,0.5,1628,3257
1.5,2,3301,2723325,0.5,1650,3301
1.5,2,3313,2743164,0.5,1656,3313
1.5,2,3329,2769728,0.5,1664,3329
